hsk_level,hanzi,pinyin,meaning
2,吧,ba,"particle indicating polite suggestion; onomatopoeia; bar (serving drinks, providing internet access, etc.)"
2,白,bái,white; snowy; pure
2,百,bǎi,hundred
2,帮助,bāngzhù,help; assist; aid
2,报纸,bàozhǐ,newspaper
2,比,bǐ,compare; (indicates comparison); to gesticulate as one talks
2,别,bié,don't do something; don't; depart
2,宾馆,bīnguǎn,guesthouse; hotel
2,长,"cháng, zhǎng",long; length; grow
2,唱歌,chànggē,sing (a song)
2,出,chū,go out; occur
2,穿,chuān,to wear; put on; penetrate
2,次,cì,(mw for number of times of occurrence); nth; order
2,从,cóng,from; obey; observe
2,错,cuò,mistake; error; blunder
2,打篮球,dǎ lánqiú,play basketball
2,大家,dàjiā,everyone
2,到,dào,arrive (at a place); until (a time)
2,得,de,(complement particle)
2,等,děng,to wait; rank; equal
2,弟弟,dìdi,younger brother
2,第一,dìyī,first; number 1
2,懂,dǒng,understand; know
2,对,duì,correct; a pair; to face
2,房间,fángjiān,room
2,非常,fēicháng,extremely; extraordinary; very
2,服务员,fúwùyuán,waiter/waitress; server; attendant
2,高,gāo,high; tall
2,告诉,gàosu,to tell; inform
2,哥哥,gēge,older brother
2,给,gěi,to give; to grant; (passive particle)
2,公共汽车,gōnggòng qìchē,(public) bus
2,公司,gōngsī,company; corporation
2,贵,guì,expensive; noble; honorable
2,过,guò,to pass; to cross; go over
2,还,hái,still; yet; in addition
2,孩子,háizi,child; children; son or daughter
2,好吃,hǎochī,tasty
2,黑,hēi,black; dark; Heilongjiang province (abbreviation)
2,红,hóng,red; symbol of success; bonus
2,火车站,huǒchēzhàn,train station
2,机场,jīchǎng,airport; airfield
2,鸡蛋,jīdàn,(chicken) egg
2,件,jiàn,"(mw for things, clothes, and items)"
2,教室,jiàoshì,classroom
2,姐姐,jiějie,older sister
2,介绍,jièshào,to introduce; recommend; introduction
2,进,jìn,enter; come in
2,近,jìn,near; close (to)
2,就,jiù,then; at once; just
2,觉得,juéde,feel; think
2,咖啡,kāfēi,coffee
2,开始,kāishǐ,begin; to start; beginning
2,考试,kǎoshì,test; exam; to give or take a test
2,可能,kěnéng,possible; maybe
2,可以,kěyǐ,can; may; possible
2,课,kè,class; subject; lesson
2,快,kuài,fast; quick; swift
2,快乐,kuàilè,happy
2,累,lèi,tired
2,离,lí,leave; depart; go away
2,两,liǎng,two; 2; both
2,零,líng,zero; remnant
2,路,lù,road; path; journey
2,旅游,lǚyóu,trip; journey; tour
2,卖,mài,to sell
2,慢,màn,slow
2,忙,máng,busy
2,每,měi,each; every
2,妹妹,mèimei,younger sister
2,门,mén,door; opening; gate
2,面条,miàntiáo,noodles
2,男,nán,male
2,您,nín,you (polite)
2,牛奶,niúnǎi,cow's milk
2,女,nǚ,woman; female
2,旁边,pángbiān,"side, beside"
2,跑步,pǎobù,to run; to jog
2,便宜,piányi,cheap
2,票,piào,ticket; bank note; a vote
2,妻子,qīzi,wife
2,起床,qǐ chuáng,get out of bed
2,千,qiān,one thousand
2,铅笔,qiānbǐ,pencil
2,晴,qíng,clear; fine (as of weather)
2,去年,qùnián,last year
2,让,ràng,ask; let; yield
2,日,rì,sun; day; date
2,上班,shàngbān,go to work; be on duty
2,身体,shēntǐ,health; (human) body
2,生病,shēngbìng,get sick; fall ill
2,生日,shēngrì,birthday
2,时间,shíjiān,time; period
2,事情,shìqing,matter; affair; thing
2,手表,shǒubiǎo,wristwatch
2,手机,shǒujī,mobile (cell) phone
2,说话,shuōhuà,to talk; speak
2,送,sòng,deliver; to carry; to give
2,虽然,suīrán,although; even though
2,但是,dànshì,but; however
2,它,tā,it
2,踢足球,tīzúqiú,to play football/soccer
2,题,tí,topic; subject; question on a test or assignment
2,跳舞,tiàowǔ,to dance
2,外,wài,outer; outside; in addition
2,完,wán,to finish; be over; complete
2,玩,wán,to play; have a good time; visit
2,晚上,wǎnshang,evening; night
2,往,wǎng,to go (in a direction); towards; in the past
2,为什么,wèishénme,why?; for what reason?
2,问,wèn,ask; inquire
2,问题,wèntí,question; problem
2,西瓜,xīguā,watermelon
2,希望,xīwàng,to hope; wish for; to desire
2,洗,xǐ,to wash; bathe
2,小时,xiǎoshí,hour
2,笑,xiào,to laugh; to smile
2,新,xīn,new; Xinjiang autonomous region (abbreviation)
2,姓,xìng,surname; family name
2,休息,xiūxi,to rest; take a break
2,雪,xuě,snow
2,颜色,yánsè,color
2,眼睛,yǎnjing,eye
2,羊肉,yángròu,mutton; lamb
2,药,yào,medicine; drug; cure
2,要,yào,to want; to need; will/shall
2,也,yě,also; too
2,一起,yìqǐ,together; in the same place
2,一下,yíxià,a little bit/while; one time; once
2,已经,yǐjing,already
2,意思,yìsi,meaning; idea; opinion
2,因为,yīnwèi,because
2,所以,suǒyǐ,so; therefore; as a result
2,阴,yīn,cloudy (weather); yin (the negative principle of Yin and Yang); secret
2,游泳,yóuyǒng,to swim
2,右边,yòubian,the right (as opposed to left) side
2,鱼,yú,fish
2,远,yuǎn,far; distant; remote
2,运动,yùndòng,(physical) exercise; movement; sports
2,再,zài,again; once more
2,早上,zǎoshang,(early) morning
2,丈夫,zhàngfu,husband; man
2,找,zhǎo,try to find; look for; seek
2,着,zhe,-ing (indicating action in progress)
2,真,zhēn,real; true; genuine
2,正在,zhèngzài,in the process of (doing something); currently
2,知道,zhīdao,know; be aware of
2,准备,zhǔnbèi,prepare; get ready
2,走,zǒu,to walk; to go; to move
2,最,zuì,the most; -est; (indicator for superlative)
2,左边,zuǒbian,the left side; the left
