hsk_level,hanzi,pinyin,meaning
1,爱,ài,love
1,八,bā,eight
1,爸爸,bàba,Dad
1,杯子,bēizi,cup; glass
1,北京,Běijīng,Beijing
1,本,běn,measure word for books
1,不客气,bú kèqi,you're welcome; don't be polite
1,不,bù,no; not
1,菜,cài,dish (type of food); vegetables
1,茶,chá,tea
1,吃,chī,eat
1,出租车,chūzūchē,taxi; cab
1,打电话,dǎ diànhuà,make a phone call
1,大,dà,big; large
1,的,de,"indicates possession, like adding 's to a noun"
1,点,diǎn,a dot; a little; o'clock
1,电脑,diànnǎo,computer
1,电视,diànshì,television; TV
1,电影,diànyǐng,movie; film
1,东西,dōngxi,things; stuff
1,都,dōu,all; both
1,读,dú,to read; to study
1,对不起,duìbuqǐ,sorry
1,多,duō,many
1,多少,duōshao,how much?; how many?
1,儿子,érzi,son
1,二,èr,two
1,饭店,fàndiàn,restaurant; hotel
1,飞机,fēijī,airplane
1,分钟,fēnzhōng,minute; (measure word for time)
1,高兴,gāoxìng,happy; glad
1,个,ge,general measure word
1,工作,gōngzuò,work; a job
1,狗,gǒu,dog
1,汉语,Hànyǔ,Chinese language
1,好,hǎo,good
1,号,hào,number; day of a month
1,喝,hē,to drink
1,和,hé,and; with
1,很,hěn,very; quite
1,后面,hòumian,back; behind
1,回,huí,to return; to reply; to go back
1,会,huì,know how to
1,几,jǐ,how many; several; a few
1,家,jiā,family; home
1,叫,jiào,to be called
1,今天,jīntiān,today
1,九,jiǔ,nine
1,开,kāi,to open; to start; to operate (a vehicle)
1,看,kàn,see; look at; to watch
1,看见,kànjiàn,see; catch sight of
1,块,kuài,lump; piece; sum of money
1,来,lái,come; arrive; ever since
1,老师,lǎoshī,teacher
1,了,le,indicates a completed or finished action
1,冷,lěng,cold
1,里,lǐ,inside; Chinese mile (~.5 km)
1,六,liù,six
1,妈妈,māma,mom; mum
1,吗,ma,indicates a yes/no question (added to a statement)
1,买,mǎi,to buy
1,猫,māo,cat
1,没关系,méi guānxi,it doesn't matter; never mind
1,没有,méiyǒu,not have; there is not
1,米饭,mǐfàn,(cooked) rice
1,明天,míngtiān,tomorrow
1,名字,míngzi,name
1,哪,nǎa,which; how
1,哪儿,nǎr,where? (Beijing accent)
1,那,nà,that; then
1,呢,ne,indicates a question; how about...?
1,能,néng,can; be able
1,你,nǐ,you (singular)
1,年,nián,year
1,女儿,nǚ'ér,daughter
1,朋友,péngyou,friend
1,漂亮,piàoliang,pretty; beautiful
1,苹果,píngguǒ,apple
1,七,qī,seven
1,钱,qián,money; coin
1,前面,qiánmiàn,in front
1,请,qǐng,please; invite; to treat someone to something
1,去,qù,go; to leave
1,热,rè,heat; hot
1,人,rén,person; man; people
1,认识,rènshi,recognize; know (a person)
1,三,sān,three
1,商店,shāngdiàn,shop; store
1,上,shàng,above; up
1,上午,shàngwǔ,late morning (before noon)
1,少,shǎo,few; little
1,谁,shéi,who
1,什么,shénme,what? (replaces the noun to turn a statement into a question)
1,十,shí,ten
1,时候,shíhou,time
1,是,shì,be; is; are
1,书,shū,book; letter
1,水,shuǐ,water
1,水果,shuǐguǒ,fruit
1,睡觉,shuì jiào,to sleep; go to bed
1,说,shuō,speak
1,四,sì,four
1,岁,suì,years old; age
1,他,tā,he; him
1,她,tā,she
1,太,tài,too (much)
1,天气,tiānqì,weather
1,听,tīng,listen; hear
1,同学,tóngxué,fellow student; schoolmate
1,喂,wèi,hello (on the phone)
1,我,wǒ,I; me
1,我们,wǒmen,we; us
1,五,wǔ,five
1,喜欢,xǐhuan,to like
1,下,xià,fall; below
1,下午,xiàwǔ,afternoon
1,下雨,xiàyǔ,to rain
1,先生,xiānsheng,Mr; Sir
1,现在,xiànzài,now
1,想,xiǎng,think; believe; suppose
1,小,xiǎo,small; young
1,小姐,xiǎojie,young lady; miss; Ms
1,些,xiē,some; few; several
1,写,xiě,to write; to compose
1,谢谢,xièxie,thank you
1,星期,xīngqī,week
1,学生,xuésheng,student
1,学习,xuéxí,learn; to study
1,学校,xuéxiào,school
1,一,yī,one; once; a
1,衣服,yīfu,clothes
1,医生,yīshēng,doctor
1,医院,yīyuàn,hospital
1,椅子,yǐzi,chair
1,一点儿,yìdiǎnr,a bit; a few
1,有,yǒu,have
1,月,yuè,moon; month
1,在,zài,at; on; in
1,再见,zàijiàn,goodbye; see you later
1,怎么,zěnme,how?
1,怎么样,zěnmeyàng,how about?; how is/was it?
1,这,zhè,this
1,中国,Zhōngguó,China
1,中午,zhōngwǔ,noon; midday
1,住,zhù,to live; reside; to stop
1,桌子,zhuōzi,table; desk
1,字,zì,letter; character
1,昨天,zuótiān,yesterday
1,做,zuò,do; make
1,坐,zuò,sit
